Time,BIS/EEG1_WAV
0.0,
0.0078125,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,12.95
,-2.05
,-4.95
,16.6
,5.9
,-15.3
,-0.1
,1.45
,-9.1
,-7.7
,5.15
,1.9
,-11.7
,-6.9
,9.35
,-0.5
,0.0
,1.1
,2.85
,-3.55
,2.45
,16.9
,6.65
,-0.45
,1.65
,10.75
,-4.35
,10.95
,5.85
,2.8
,4.7
,11.55
,-30.6
,-35.2
,-37.95
,-55.8
,-84.8
,-72.0
,-67.85
,-78.65
,-110.05
,-140.2
,-162.55
,-175.4
,-190.75
,-217.65
,-219.35
,-211.05
,-221.15
,-248.55
,-267.8
,-289.35
,-327.45
,-363.55
,-408.45
,-448.55
,-485.9
,-501.9
,-512.05
,-500.95
,-537.25
,-577.55
,-609.45
,-624.15
,-626.05
,-643.35
,-636.7
,-624.3
,-632.8
,-631.4
,-604.0
,-630.7
,-647.65
,-630.55
,-635.0
,-652.65
,-632.0
,-643.8
,-650.9
,-650.35
,-640.05
,-653.25
,-639.2
,-618.65
,-635.8
,-641.35
,-624.55
,-614.35
,-624.0
,-615.55
,-617.1
,-604.95
,-583.15
,-583.3
,-590.8
,-564.65
,-560.1
,-583.6
,-566.5
,-570.25
,-594.65
,-572.75
,-529.4
,-558.7
,-552.35
,-535.25
,-565.0
,-586.7
,-577.95
,-566.6
,-559.55
,-592.95
,-586.25
,-551.85
,-567.55
,-567.45
,-552.35
,-574.95
,-572.95
,-552.8
,-588.15
,-586.0
,-571.0
,-568.85
,-572.8
,-565.7
,-579.9
,-576.25
,-558.05
,-548.75
,-579.75
,-575.05
,-573.05
,-584.8
,-583.85
,-573.65
,-588.1
,-603.25
,-598.75
,-599.85
,-610.55
,-593.4
,-595.9
,-612.9
,-620.4
,-631.5
,-673.65
,-658.15
,-633.7
,-609.65
,-591.1
,-586.25
,-592.1
,-563.3
,-555.35
,-569.35
,-552.9
,-527.45
,-532.5
,-516.0
,-483.55
,-485.2
,-484.0
,-452.85
,-410.15
,-408.95
,-407.2
,-407.05
,-372.15
,-365.3
,-336.75
,-332.0
,-366.05
,-348.6
,-300.15
,-309.25
,-313.8
,-281.55
,-333.05
,-329.65
,-233.05
,-253.45
,-287.1
,-269.25
,-244.8
,-249.5
,-231.3
,-217.55
,-224.75
,-234.15
,-224.35
,-212.85
,-187.3
,-195.95
,-200.6
,-202.35
,-204.95
,-213.35
,-214.45
,-190.8
,-178.95
,-214.75
,-211.25
,-230.4
,-255.0
,-261.8
,-251.5
,-300.5
,-310.25
,-256.8
,-258.0
,-266.75
,-258.2
,-271.1
,-257.95
,-224.8
,-235.45
,-217.85
,-190.7
,-162.45
,-150.9
,-147.4
,-133.8
,-103.3
,-111.75
,-107.8
,-75.5
,-96.4
,-82.3
,-64.85
,-68.2
,-77.7
,-108.7
,-93.75
,-78.95
,-60.35
,-59.6
,-68.15
,-57.65
,-36.75
,-57.05
,-45.3
,24.45
,22.85
,-22.1
,-25.55
,-47.55
,-102.05
,-94.85
,-62.6
,5.4
,18.15
,37.7
,-13.4
,-40.15
,-9.5
,34.45
,6.05
,-23.8
,-10.9
,-50.45
,-37.6
,-32.6
,-48.25
,-73.75
,5.7
,-1.8
,28.75
,0.1
,8.75
,18.45
,29.3
,-2.9
,11.7
,12.05
,24.9
,192.0
,184.15
,100.2
,192.3
,249.9
,116.95
,153.2
,117.8
,45.5
,24.45
,-21.85
,-89.55
,-82.4
,-115.3
,-118.45
,-143.85
,-189.6
,-154.0
,-141.6
,-193.25
,-166.25
,-165.3
,-196.0
,-194.45
,-179.8
,-210.1
,-192.8
,-187.9
,-172.7
,-165.85
,-158.65
,-161.7
,-161.8
,-155.3
,-151.1
,-158.25
,-141.6
,-148.05
,-175.1
,-176.35
,-152.4
,-152.75
,-175.3
,-152.3
,-142.0
,-152.5
,-155.3
,-137.55
,-126.7
,-123.25
,-118.35
,-88.75
,-96.7
,-111.3
,-96.0
,-91.75
,-88.75
,-63.6
,-97.3
,-100.95
,-84.45
,-74.8
,-80.05
,-71.1
,-83.8
,-83.8
,-86.6
,-85.3
,-107.4
,-94.1
,-106.4
,-93.75
,-93.5
,-100.3
,-96.05
,-81.9
,-101.8
,-91.3
,-88.1
,-128.55
,-115.75
,-105.75
,-142.35
,-126.15
,-110.25
,-168.4
,-183.95
,-131.75
,-146.15
,-179.0
,-171.85
,-169.75
,-186.95
,-172.2
,-179.0
,-201.8
,-187.65
