Time,BIS/EEG1_WAV
0.0,28.75
0.0078125,14.6
,7.3
,15.35
,27.75
,-0.1
,20.3
,44.45
,30.35
,4.6
,26.6
,30.85
,22.0
,39.5
,42.5
,16.5
,20.6
,23.55
,23.95
,26.05
,23.15
,26.55
,41.2
,20.0
,23.3
,39.4
,54.9
,46.0
,44.5
,42.6
,53.55
,35.2
,32.3
,29.8
,34.95
,32.25
,9.9
,11.1
,52.5
,41.6
,22.95
,39.7
,43.35
,40.45
,41.3
,48.0
,59.3
,46.3
,46.2
,55.65
,57.0
,49.5
,62.65
,59.55
,62.0
,49.45
,43.3
,70.75
,80.3
,50.85
,47.05
,39.75
,44.8
,55.9
,47.15
,50.75
,67.2
,80.05
,112.15
,137.3
,121.9
,121.7
,138.3
,133.45
,119.4
,118.9
,123.7
,126.0
,124.7
,134.25
,124.9
,140.25
,146.95
,140.3
,148.85
,161.5
,127.5
,132.25
,146.2
,144.3
,140.85
,161.3
,142.1
,130.85
,128.65
,135.1
,135.4
,149.45
,140.4
,134.65
,161.6
,163.85
,136.7
,149.1
,142.0
,148.7
,161.9
,145.3
,122.0
,134.8
,120.45
,134.1
,162.55
,154.1
,115.05
,121.15
,136.55
,132.75
,113.85
,144.35
,190.7
,200.35
,173.85
,185.45
,198.8
,197.6
,196.15
,177.15
,161.65
,183.25
,176.3
,159.05
,185.05
,172.85
,164.75
,180.15
,163.7
,161.2
,179.15
,165.2
,161.7
,173.55
,159.1
,181.2
,178.2
,144.5
,164.55
,172.9
,162.15
,167.4
,155.45
,156.4
,181.9
,182.3
,171.5
,163.25
,143.15
,155.95
,164.25
,137.3
,151.25
,174.55
,169.35
,151.55
,154.6
,157.9
,175.7
,180.9
,177.9
,183.9
,208.9
,215.1
,206.0
,190.9
,183.15
,193.5
,208.7
,194.15
,186.85
,192.2
,193.85
,189.4
,191.2
,192.75
,178.25
,168.75
,190.55
,200.75
,192.5
,176.9
,168.15
,196.7
,213.0
,184.8
,177.3
,179.4
,171.15
,175.15
,185.45
,191.25
,199.8
,201.6
,180.4
,180.35
,195.0
,195.25
,186.95
,177.3
,171.85
,169.5
,174.35
,170.15
,177.05
,178.25
,185.75
,187.25
,209.1
,227.3
,210.7
,187.9
,175.25
,165.6
,189.1
,189.25
,176.85
,158.1
,173.55
,168.4
,145.7
,163.15
,209.4
,195.1
,160.5
,166.35
,161.55
,111.95
,100.55
,107.55
,77.6
,37.45
,30.5
,42.55
,27.9
,19.2
,25.25
,12.15
,23.65
,48.4
,26.2
,3.9
,20.9
,17.0
,13.15
,35.35
,20.25
,1.75
,34.4
,23.45
,9.15
,4.1
,6.9
,-3.05
,11.2
,14.2
,33.65
,20.45
,1.65
,-9.95
,9.25
,15.75
,26.8
,10.65
,7.9
,0.6
,4.5
,8.3
,3.6
,6.4
,24.65
,-3.65
,-1.35
,21.45
,10.7
,-5.0
,20.65
,-5.6
,-15.25
,23.5
,15.4
,-11.05
,20.1
,6.1
,21.6
,34.9
,7.25
,-6.5
,35.45
,26.25
,17.45
,35.65
,43.55
,62.35
,69.3
,54.15
,77.25
,94.4
,96.5
,99.25
,100.45
,114.85
,121.45
,115.9
,115.75
,114.8
,107.95
,115.95
,101.1
,87.1
,109.0
,89.85
,85.95
,116.6
,90.85
,87.55
,97.45
,83.5
,85.05
,118.8
,98.1
,74.55
,74.4
,82.6
,96.9
,84.85
,79.0
,102.75
,95.4
,103.4
,104.8
,78.4
,84.55
,101.45
,99.05
,122.7
,124.7
,85.25
,86.95
,100.65
,98.95
,99.95
,96.95
,107.35
,133.5
,127.9
,153.3
,172.95
,163.3
,162.0
,185.6
,194.5
,194.8
,190.7
,179.1
,173.55
,187.0
,199.35
,190.75
,171.15
,177.8
,179.9
,160.65
,161.75
,168.65
,176.0
,186.15
,178.95
,166.7
,178.35
,166.35
,150.8
,174.2
,162.0
,144.35
,153.2
,157.55
,145.15
,152.95
,148.85
,144.95
,167.1
,158.65
,148.95
,147.6
,145.7
,173.0
,183.75
,146.7
